defined_class	defined_class_label	entity	entity_label
MP:0009497	"abnormal intrahepatic bile duct morphology"	UBERON:0003704	"intrahepatic bile duct"
MP:0009499	"abnormal intralobular bile duct morphology"	UBERON:0001282	"intralobular bile duct"
MP:0003687	"abnormal intraocular muscle morphology"	UBERON:0011222	"intra-ocular muscle"
MP:0013441	"abnormal intraorbital lacrimal gland morphology"	UBERON:0019324	"intraorbital lacrimal gland"
MP:0030208	"abnormal intrinsic tongue muscle morphology"	UBERON:0001576	"intrinsic muscle of tongue"
MP:0001322	"abnormal iris morphology"	UBERON:0001769	"iris"
MP:0005199	"abnormal iris pigment epithelium"	UBERON:0002506	"iris epithelium"
MP:0005208	"abnormal iris stroma morphology"	UBERON:0001779	"iris stroma"
MP:0004507	"abnormal ischium morphology"	UBERON:0001274	"ischium"
MP:0010010	"abnormal islands of Calleja morphology"	UBERON:0001881	"island of Calleja"
MP:0000454	"abnormal jaw morphology"	UBERON:0001708	"jaw skeleton"
MP:0013483	"abnormal jejunum crypts of Lieberkuhn morphology"	UBERON:0013483	"crypt of Lieberkuhn of jejunum"
MP:0004002	"abnormal jejunum morphology"	UBERON:0002115	"jejunum"
MP:0013798	"abnormal jeujunal goblet cell morphology"	CL:1000325	"jejunal goblet cell"
MP:0002932	"abnormal joint morphology"	UBERON:0000982	"skeletal joint"
MP:0030470	"abnormal jugular foramen morphology"	UBERON:0005456	"jugular foramen"
MP:0020830	"abnormal jugular lymph sac morphology"	UBERON:0011765	"jugular lymph sac"
MP:0013872	"abnormal jugular vein morphology"	UBERON:0004711	"jugular vein"
MP:0011300	"abnormal juxtaglomerular cell morphology"	CL:0000648	"kidney granular cell"
MP:0010737	"abnormal juxtaparanode morphology"	GO:0044224	"juxtaparanode region of axon"
MP:0002655	"abnormal keratinocyte morphology"	CL:0000312	"keratinocyte"
MP:0011312	"abnormal kidney afferent arteriole morphology"	UBERON:0004639	"renal afferent arteriole"
MP:0011315	"abnormal kidney arcuate artery morphology"	UBERON:0001552	"kidney arcuate artery"
MP:0011325	"abnormal kidney arcuate vein morphology"	UBERON:0004719	"kidney arcuate vein"
MP:0011309	"abnormal kidney arterial blood vessel morphology"	UBERON:0003644	"kidney arterial blood vessel"
MP:0004195	"abnormal kidney calyx morphology"	UBERON:0006517	"kidney calyx"
MP:0011310	"abnormal kidney capillary morphology"	UBERON:0003527	"kidney capillary"
MP:0011383	"abnormal kidney capsule morphology"	UBERON:0002015	"kidney capsule"
MP:0011843	"abnormal kidney collecting duct epithelium morphology"	UBERON:0014388	"kidney collecting duct epithelium"
MP:0011754	"abnormal kidney collecting duct intercalated cell morphology"	CL:1001432	"kidney collecting duct intercalated cell"
MP:0004754	"abnormal kidney collecting duct morphology"	UBERON:0001232	"collecting duct of renal tubule"
MP:0011757	"abnormal kidney collecting duct principal cell morphology"	CL:1001431	"kidney collecting duct principal cell"
MP:0011314	"abnormal kidney cortex artery morphology"	UBERON:0005268	"renal cortex artery"
MP:0000521	"abnormal kidney cortex morphology"	UBERON:0001225	"cortex of kidney"
MP:0011322	"abnormal kidney cortex vein morphology"	UBERON:0005269	"renal cortex vein"
