defined_class	defined_class_label	entity	entity_label
MP:0012714	"decreased ventral ectodermal ridge size"	UBERON:0015855	"ventral ectodermal ridge"
MP:0020558	"decreased ventromedial hypothalamic nucleus size"	UBERON:0001935	"ventromedial nucleus of hypothalamus"
MP:0009133	"decreased white fat cell size"	CL:0000448	"white fat cell"
MP:0012456	"dereased mammillothalamic tract size"	UBERON:0002990	"mammillothalamic tract of hypothalamus"
MP:0000433	"microcephaly"	UBERON:0000033	"head"
MP:0003296	"microcolon"	UBERON:0001155	"colon"
MP:0002813	"microcytosis"	CL:0000232	"erythrocyte"
MP:0030088	"microdontia"	UBERON:0001091	"calcareous tooth"
MP:0002639	"micrognathia"	UBERON:0001708	"jaw skeleton"
MP:0001297	"microphthalmia"	UBERON:0000019	"camera-type eye"
MP:0009880	"microstomia"	UBERON:0000165	"mouth"
MP:0004708	"short lumbar vertebrae"	UBERON:0002414	"lumbar vertebra"
MP:0013448	"small Harderian gland"	UBERON:0004187	"Harderian gland"
MP:0001021	"small L4 dorsal root ganglion"	UBERON:0003943	"fourth lumbar dorsal root ganglion"
MP:0001024	"small L5 dorsal root ganglion"	UBERON:0002859	"fifth lumbar dorsal root ganglion"
MP:0030026	"small Meckel's cartilage"	UBERON:0003107	"Meckel's cartilage"
MP:0013388	"small Meibomian gland"	UBERON:0001818	"tarsal gland"
MP:0008135	"small Peyer's patches"	UBERON:0001211	"Peyer's patch"
MP:0013349	"small Rathke's pouch"	UBERON:0005356	"Rathke's pouch"
MP:0004306	"small Rosenthal canal"	UBERON:0006495	"osseus cochlear canal"
MP:0008321	"small adenohypophysis"	UBERON:0002196	"adenohypophysis"
MP:0020144	"small adrenal gland x-zone"	UBERON:0009024	"adrenal gland X zone"
MP:0002768	"small adrenal glands"	UBERON:0002369	"adrenal gland"
MP:0004459	"small alisphenoid bone"	UBERON:0006721	"alisphenoid bone"
MP:0004559	"small allantois"	UBERON:0004340	"allantois"
MP:0012104	"small amniotic cavity"	UBERON:0000301	"amniotic cavity"
MP:0009632	"small axillary lymph nodes"	UBERON:0001097	"axillary lymph node"
MP:0004447	"small basioccipital bone"	UBERON:0001692	"basioccipital bone"
MP:0004462	"small basisphenoid bone"	UBERON:0006428	"basisphenoid bone"
MP:0009629	"small brachial lymph nodes"	UBERON:0002525	"brachial lymph node"
MP:0013227	"small brain ventricles"	UBERON:0004086	"brain ventricle"
MP:0013737	"small bulbourethral gland"	UBERON:0002366	"bulbo-urethral gland"
MP:0004652	"small caudal vertebrae"	UBERON:0001095	"caudal vertebra"
MP:0013838	"small caudate nucleus"	UBERON:0001873	"caudate nucleus"
MP:0009477	"small cecum"	UBERON:0001153	"caecum"
MP:0000852	"small cerebellum"	UBERON:0002037	"cerebellum"
MP:0030011	"small cervical lymph nodes"	UBERON:0002429	"cervical lymph node"
MP:0004338	"small clavicle"	UBERON:0001105	"clavicle bone"
MP:0003530	"small clitoris"	UBERON:0002411	"clitoris"
MP:0003986	"small cochlear ganglion"	UBERON:0000395	"cochlear ganglion"
MP:0030077	"small cranial cavity"	UBERON:0013411	"cranial cavity"
MP:0005352	"small cranium"	UBERON:0003128	"cranium"
MP:0030305	"small cribriform plate"	UBERON:0004546	"cribriform plate"
MP:0014113	"small dorsal pancreas"	UBERON:0003923	"dorsal pancreatic bud"
MP:0000964	"small dorsal root ganglion"	UBERON:0000044	"dorsal root ganglion"
MP:0000018	"small ears"	UBERON:0001691	"external ear"
MP:0002584	"small ectoplacental cone"	UBERON:0004364	"ectoplacental cone"
MP:0011189	"small embryonic epiblast"	UBERON:0008780	"inner cell mass derived epiblast"
MP:0000936	"small embryonic telencephalon"	UBERON:0014371	"future telencephalon"
MP:0008066	"small endolymphatic duct"	UBERON:0001860	"endolymphatic duct"
MP:0009396	"small endometrial glands"	UBERON:0002451	"endometrial gland"
MP:0004930	"small epididymis"	UBERON:0001301	"epididymis"
MP:0010880	"small esophagus"	UBERON:0001043	"esophagus"
MP:0030303	"small ethmoid bone"	UBERON:0001679	"ethmoid bone"
MP:0004445	"small exoccipital bone"	UBERON:0001693	"exoccipital bone"
MP:0009202	"small external male genitalia"	UBERON:0004053	"external male genitalia"
MP:0013789	"small external nares"	UBERON:0005928	"external naris"
MP:0030064	"small face"	UBERON:0001456	"face"
